model,dimension,segment,n_customers,MAP@12
popularity,age_band,25-34,4192,0.0039883035435079005
popularity,age_band,35-44,1485,0.003778498027044094
popularity,age_band,45-54,2569,0.00674568899340211
popularity,age_band,55+,1753,0.004617861626798688
popularity,age_band,<25,3739,0.006619586797314481
popularity,age_band,unknown,59,0.00423728813559322
item_item_cf,age_band,25-34,4192,0.008911008364174026
item_item_cf,age_band,35-44,1485,0.009357173505525715
item_item_cf,age_band,45-54,2569,0.008794219496989707
item_item_cf,age_band,55+,1753,0.010519467143112322
item_item_cf,age_band,<25,3739,0.006718730941713595
item_item_cf,age_band,unknown,59,0.014171374764595105
ranker,age_band,25-34,4192,0.030133889613624256
ranker,age_band,35-44,1485,0.03252033056252742
ranker,age_band,45-54,2569,0.02984975786889084
ranker,age_band,55+,1753,0.031743768591926846
ranker,age_band,<25,3739,0.025254856422376383
ranker,age_band,unknown,59,0.021869114877589454
popularity,cohort,cold,1131,0.004039237108725092
popularity,cohort,warm,12666,0.005383474052231525
item_item_cf,cohort,cold,1131,0.004039237108725092
item_item_cf,cohort,warm,12666,0.008974608751000776
ranker,cohort,cold,1131,0.004039237108725092
ranker,cohort,warm,12666,0.031430176790112854
